eventid,event_date,year,month,day,region,city,lat,long,success,suicide,group_name,motive,killed,wounded,total_casualties,summary,attack_type,weapon_type,weapon_detail,weapon_detail_new,target_type,target_subtype,corp1,target,nationality
1.98E+11,4/1/1980,1980,4,1,Banaadir,Mogadishu,2.059819,45.326115,0,0,Unknown,,1,0,1,,Assassination,Unknown,nan,nan,government,head of state,Somalia,president: mohamed siad barre,Somalia
1.98E+11,7/19/1984,1984,7,19,Woqooyi Galbeed,Hargeisa,9.556936,44.074135,1,0,Unknown,,0,0,0,,Bombing/Explosion,Explosives,explosive devices,explosive,government,political party,,regional hq of party of mogadishu regime,Somalia
1.98E+11,11/24/1984,1984,11,24,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,2,2,,Hijacking,Firearms,pistol; explosive,pistol; explosive,airports & aircraft,aircraft,Somalia Airlines boeing 707,somalia airlines boeing 707,Somalia
1.99E+11,7/15/1990,1990,7,15,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,Bombing/Explosion,Explosives,explosive devices defused,explosive - defused,diplomatic,embassy,China State Dept,chinese embassy,China
1.99E+11,7/19/1990,1990,7,19,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,Bombing/Explosion,Explosives,explosive devices defused,explosive - defused,police,police building,Police,police headquarters,Somalia
1.99E+11,7/22/1990,1990,7,22,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,Bombing/Explosion,Explosives,explosive devices defused,explosive - defused,ngo,international ngo,European Community,european community,International
1.99E+11,7/22/1990,1990,7,22,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,Bombing/Explosion,Explosives,explosive devices defused,explosive - defused,police,police building,Police,police station,Somalia
1.99E+11,7/28/1990,1990,7,28,Unknown,Unknown,,,1,0,United Somali Congress,,1,0,1,,Assassination,Firearms,automatic firearms,automatic firearm,military,military personnel,Military,mohammed abdi osman ahmed *,Somalia
1.99E+11,8/13/1990,1990,8,13,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,Bombing/Explosion,Explosives,explosive devices defused,explosive - defused,diplomatic,embassy,Iraq State Dept,iraq embassy,Iraq
1.99E+11,8/13/1990,1990,8,13,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,Bombing/Explosion,Explosives,explosive devices defused,explosive - defused,diplomatic,embassy,Libya State Dept,libya embassy,Libya
1.99E+11,9/6/1990,1990,9,6,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,2,0,2,,Bombing/Explosion,Explosives,explosive devices defused,explosive - defused,government,govt building,Govt,central post office,Somalia
1.99E+11,9/6/1990,1990,9,6,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,Bombing/Explosion,Explosives,explosive devices defused,explosive - defused,government,govt personnel,Govt,ministry of education,Somalia
1.99E+11,12/16/1990,1990,12,16,Banaadir,Mogadishu,2.059819,45.326115,1,0,United Somali Congress,,0,0,0,,Bombing/Explosion,Explosives,explosive devices,explosive,military,military aircraft,Military,three air force aircraft,Somalia
1.99E+11,12/20/1990,1990,12,20,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,1,0,1,,Armed Assault,Firearms,automatic firearms,automatic firearm,airports & aircraft,airport,,adan adde international airport,Somalia
